,startlatitude,startlongitude,trip_count
292,36.1783,-86.7902,1
293,36.180916,-86.793268,1
294,36.181055,-86.793525,1
295,36.12399,-86.78984,1
296,36.14968,-86.80617,1
297,36.14974,-86.79689,1
298,36.14972,-86.80607,1
299,36.14978,-86.76353,1
300,36.14966,-86.80611,1
301,36.1499,-86.8146,1
302,36.1499,-86.8145,1
303,36.14992,-86.81367,1
304,36.1496,-86.7783,1
305,36.15,-86.8072,1
306,36.15004,-86.76756,1
