,sumdid,company,lat,lon,geometry,index_right,zip,objectid,po_name,shape_stlength,shape_starea
2651,Powered4NJJEU6ZJTDB2,Lime,36.115282,-86.797186,POINT (-86.797186 36.115282),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2653,Powered4NMNRY6UUV7YV,Lime,36.098415,-86.83863,POINT (-86.83863 36.098415),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2658,Powered4P74H,Bird,36.120979,-86.835369,POINT (-86.835369 36.120979),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2659,Powered4PDHT,Bird,36.118447,-86.834078,POINT (-86.834078 36.118447),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2661,Powered4QCQQ,Bird,36.117358,-86.801522,POINT (-86.801522 36.117358),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2664,Powered4QNBMTMJHPFVH,Lime,36.124704,-86.816828,POINT (-86.816828 36.124704),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2667,Powered4RHQ7BYJ3THDK,Lime,36.110622,-86.815538,POINT (-86.815538 36.110622),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2671,Powered4RXT7,Bird,36.118909,-86.81454,POINT (-86.81454 36.118909),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2674,Powered4SYHX,Bird,36.11964,-86.81653,POINT (-86.81653 36.11964),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2676,Powered4TCGH,Bird,36.122609,-86.814216,POINT (-86.814216 36.122609),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2679,Powered4TQ5RI7X5C32O,Lime,36.054378,-86.858037,POINT (-86.858037 36.054378),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2683,Powered4UYA2,Bird,36.120874,-86.81128,POINT (-86.81128 36.120874),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2684,Powered4UYQ3,Bird,36.126742,-86.813509,POINT (-86.813509 36.126742),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
